"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"156","Oskar Sundqvist","STL","C","165","244.88333333333","63","337","15.75","56","262","17.61","50","187","21.10","4","21","16.00","3.68","23.77","13.42","32","187","14.61","18","86","17.31","3","8","27.27","8.00","88.77","0.968","4","24","95","285","4.04","9","34","128","6.57"
"74","Adam Henrique","ANA, N.J","C","225","243.91666666667","65","380","14.61","58","292","16.57","47","213","18.08","4","23","14.81","3.39","29.28","10.38","34","210","13.93","16","96","14.29","2","14","12.50","8.51","89.20","0.977","11","31","191","245","5.45","17","39","228","6.94"
"40","Vladimir Sobotka","BUF, STL","C, L","166","243.23333333333","53","386","12.07","50","293","14.58","41","212","16.21","3","29","9.38","2.29","25.39","8.27","20","195","9.30","9","89","9.18","2","14","12.50","7.32","86.32","0.936","7","18","120","256","5.51","11","29","157","6.55"
"91","Marcus Foligno","MIN","L","210","239.56666666667","53","384","12.13","46","282","14.02","28","206","11.97","1","23","4.17","2.09","22.07","8.63","17","185","8.42","7","58","10.77","0","4","0.00","3.57","88.83","0.924","1","38","194","115","0.51","4","51","260","1.52"
"143","Vladislav Namestnikov","NYR, OTT, T.B","C, L","215","239.21666666667","71","401","15.04","64","314","16.93","57","208","21.51","11","26","29.73","4.73","30.2","13.54","42","214","16.41","22","106","17.19","8","14","36.36","19.30","87.50","1.068","4","32","182","203","2.15","8","46","240","3.23"
"183","Alexander Wennberg","CBJ","C","193","234.73333333333","65","292","18.21","57","231","19.79","53","168","23.98","5","23","17.86","3.4","21.16","13.83","34","162","17.35","16","63","20.25","3","9","25.00","9.43","86.31","0.957","20","45","93","286","17.70","24","56","108","18.18"
"26","Blake Wheeler","WPG","R","227","234.61666666667","62","422","12.81","50","322","13.44","37","246","13.07","5","34","12.82","3.62","28.96","11.11","34","209","13.99","18","90","16.67","3","19","13.64","13.51","86.18","0.997","9","40","151","248","5.63","11","48","199","5.24"
"194","Ivan Barbashev","STL","C","194","234.58333333333","63","331","15.99","57","261","17.92","50","192","20.66","3","31","8.82","4.27","24.32","14.92","34","193","14.98","20","87","18.69","2","15","11.76","6.00","83.85","0.899","6","27","79","314","7.06","8","39","98","7.55"
"45","Nick Foligno","CBJ","L","206","234.23333333333","69","334","17.12","65","250","20.63","53","177","23.04","1","20","4.76","3.63","21.36","14.54","35","184","15.98","13","62","17.33","0","4","0.00","1.89","88.70","0.906","9","30","133","237","6.34","15","38","173","7.98"
"102","Tyler Pitlick","DAL, PHI","C","183","234.15","54","429","11.18","50","315","13.70","44","215","16.99","1","24","4.00","2.66","28.34","8.59","26","215","10.79","16","93","14.68","1","11","8.33","2.27","88.84","0.911","10","24","118","266","7.81","15","32","139","9.74"
"111","Tyler Seguin","DAL","C","226","230.58333333333","55","394","12.25","46","283","13.98","38","219","14.79","2","29","6.45","3.02","23.89","11.21","28","196","12.50","12","67","15.19","1","12","7.69","5.26","86.76","0.920","13","31","372","187","3.38","16","41","460","3.36"
"62","Riley Nash","BOS, CBJ","C","213","228.81666666667","47","369","11.30","40","276","12.66","33","202","14.04","2","34","5.56","2.35","23.52","9.09","17","181","8.59","8","72","10.00","1","12","7.69","6.06","83.17","0.892","6","22","153","176","3.77","9","37","209","4.13"
"41","Tom Pyatt","OTT","L","118","228.6","56","436","11.38","51","334","13.25","46","239","16.14","3","38","7.32","2.45","29.1","7.75","23","193","10.65","12","90","11.76","1","21","4.55","6.52","84.10","0.906","3","28","147","177","2.00","6","39","201","2.90"
"112","Mikael Granlund","MIN, NSH","C, R","211","224.63333333333","47","369","11.30","40","294","11.98","35","209","14.34","4","28","12.50","2.27","27","7.74","22","178","11.00","8","79","9.20","1","15","6.25","11.43","86.60","0.980","3","32","185","144","1.60","8","43","245","3.16"
"119","Brian Gibbons","ANA, CAR, N.J, OTT","C, L","138","222.95","50","358","12.25","45","258","14.85","40","183","17.94","3","27","10.00","3.5","23.83","12.79","33","179","15.57","18","63","22.22","3","11","21.43","7.50","85.25","0.927","9","21","126","204","6.67","15","35","173","7.98"
"209","Mitchell Marner","TOR","C, R","216","221.03333333333","78","332","19.02","70","243","22.36","55","163","25.23","4","25","13.79","4.31","20.85","17.14","47","180","20.70","22","68","24.44","3","10","23.08","7.27","84.66","0.919","9","28","131","222","6.43","12","40","180","6.25"
"17","Ryan Kesler","ANA","C","104","220.88333333333","31","427","6.77","26","326","7.39","16","248","6.06","0","36","0.00","0.6","30.72","1.93","6","247","2.37","1","105","0.94","0","16","0.00","0.00","85.48","0.855","2","29","236","62","0.84","7","46","327","2.10"
"175","Jason Dickinson","DAL","C","152","220.26666666667","39","354","9.92","32","245","11.55","27","184","12.80","1","21","4.55","1.52","21.44","6.64","20","187","9.66","6","66","8.33","0","11","0.00","3.70","88.59","0.923","1","26","124","208","0.80","5","35","164","2.96"
"1","Matt Cullen","MIN, PIT","C","150","220.15","66","354","15.71","59","270","17.93","50","200","20.00","4","29","12.12","3.5","22.94","13.22","33","160","17.10","16","57","21.92","2","16","11.11","8.00","85.50","0.935","7","33","153","189","4.38","9","43","176","4.86"
"158","Devin Shore","ANA, DAL","C","197","218.15","47","341","12.11","42","268","13.55","30","180","14.29","4","21","16.00","3.17","24.5","11.45","29","188","13.36","14","86","14.00","3","11","21.43","13.33","88.33","1.017","6","22","66","328","8.33","9","31","74","10.84"
"189","Leon Draisaitl","EDM","C","222","217.76666666667","64","303","17.44","58","244","19.21","42","171","19.72","6","24","20.00","4.21","22.91","15.51","35","177","16.51","18","75","19.35","4","13","23.53","14.29","85.96","1.003","7","28","205","200","3.30","11","41","240","4.38"
"46","Trevor Lewis","L.A","C","161","214.2","42","381","9.93","39","292","11.78","29","202","12.55","2","21","8.70","1.82","27.44","6.21","16","191","7.73","6","72","7.69","2","9","18.18","6.90","89.60","0.965","5","20","112","239","4.27","7","36","129","5.15"
"172","Tyler Motte","CBJ, VAN","C","146","213.76666666667","48","338","12.44","45","255","15.00","39","176","18.14","2","16","11.11","2.61","23.21","10.11","20","191","9.48","10","83","10.75","1","6","14.29","5.13","90.91","0.960","8","16","117","213","6.40","10","29","152","6.17"
"200","Viktor Arvidsson","NSH","L, R","185","211.71666666667","70","327","17.63","63","254","19.87","47","184","20.35","6","18","25.00","3.52","22.84","13.36","38","162","19.00","19","66","22.35","4","8","33.33","12.77","90.22","1.030","3","34","114","196","2.56","7","48","137","4.86"
"115","Tom Kuhnhackl","NYI, PIT","R","133","210.33333333333","34","386","8.10","30","283","9.58","27","221","10.89","5","31","13.89","1.73","27.67","5.87","16","201","7.37","7","82","7.87","3","17","15.00","18.52","85.97","1.045","5","17","91","270","5.21","8","29","115","6.50"
"167","Josh Anderson","CBJ","R","171","210.25","67","302","18.16","66","226","22.60","53","159","25.00","1","16","5.88","3.81","19.15","16.60","36","151","19.25","21","50","29.58","1","6","14.29","1.89","89.94","0.918","6","27","147","176","3.92","11","32","189","5.50"
"12","Jeff Carter","L.A","C","163","209.33333333333","61","335","15.40","56","267","17.34","48","180","21.05","2","33","5.71","3.17","24.22","11.57","22","182","10.78","9","75","10.71","1","16","5.88","4.17","81.67","0.858","1","19","170","180","0.58","3","26","214","1.38"
"88","Zack Kassian","EDM","R","205","208.83333333333","54","287","15.84","46","227","16.85","42","171","19.72","5","29","14.71","2.85","21.69","11.60","28","163","14.66","15","77","16.30","3","12","20.00","11.90","83.04","0.949","5","34","128","198","3.76","10","49","148","6.33"
"171","Michael Raffl","PHI","L","194","208.51666666667","52","277","15.81","48","200","19.35","41","149","21.58","2","19","9.52","2.28","19.07","10.68","24","133","15.29","8","69","10.39","1","11","8.33","4.88","87.25","0.921","8","33","72","269","10.00","15","47","85","15.00"
