"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"16","Jeff Carter","L.A","C","60","767.76666666667","12.796111111111","1.02","0.47","0.31","0.16","1.48","82.61","11.1","9.15","0.92","18.29","15.86","8.52","4.14","0.39","1.64","1.88","0.94","0.94","0","0","0.31","1.25","0.86","4.77","2.34","1.48","21.41","20.32","4.01"
"156","Craig Smith","NSH","C, R","59","642.3","10.886440677966","1.31","0.84","0.37","0.47","2.15","51.11","11.4","11.48","0.94","16.07","14.67","8.87","4.11","0.84","1.4","1.49","0.75","0.75","0","0","0.47","1.68","1.77","4.48","4.39","1.59","0.65","1.12","3.44"
"146","Chris Kreider","NYR","C, L","58","764.7","13.184482758621","1.1","1.33","0.78","0.55","2.43","65.96","8.08","13.59","0.65","13.02","10.44","7.92","4.08","0.55","0.47","1.65","0.71","0.63","0.08","0","0.86","2.98","1.49","7.77","2.59","2.75","3.53","4.63","3.39"
"135","John Tavares","TOR","C","54","838.8","15.533333333333","0.79","1","0.72","0.29","1.79","60.98","9.16","8.59","0.85","16.88","13.16","10.44","4.08","0.79","1.29","1","0.5","0.5","0","0","0.79","2.79","2.07","1.57","5.08","1.5","28.11","23.82","3.87"
"316","Artturi Lehkonen","MTL","L","62","769.23333333333","12.406989247312","0.86","1.01","0.78","0.23","1.87","75.00","7.96","10.78","0.74","15.05","11.23","9.13","4.06","0.31","1.01","1.25","0.55","0.55","0","0","1.01","1.01","1.33","7.96","7.25","1.72","0.7","0.7","3.90"
"416","Denis Gurianov","DAL","R","55","576.01666666667","10.47303030303","0.94","0.42","0.21","0.21","1.35","54.17","8.65","10.84","0.76","15.62","11.98","9.69","4.06","0.94","0.94","0.94","0.31","0.21","0.1","0","1.25","1.67","2.08","5.52","3.33","1.67","0","0","-"
"148","Reilly Smith","VGK","R","61","799.41666666667","13.105191256831","1.13","1.28","0.75","0.53","2.4","78.05","8.86","12.71","0.82","13.28","11.33","9.08","4.05","0.53","1.13","0.9","0.45","0.45","0","0","0.53","1.95","3.15","2.78","5.48","1.58","0.08","0.15","2.50"
"325","Sean Monahan","CGY","C","61","844.43333333333","13.843169398907","0.64","0.92","0.5","0.43","1.56","70.97","7.96","8.04","0.81","12.86","10.3","9.38","4.05","0.43","0.64","1.07","0.43","0.36","0.07","0","0.57","1.63","2.34","4.05","1.85","1.21","25.37","24.37","3.62"
"234","Joel Armia","MTL","R","49","637.03333333333","13.000680272109","0.94","0.75","0.47","0.28","1.7","56.25","10.17","9.26","0.86","16.86","13.28","9.8","4.05","0.28","1.6","0.75","0.38","0.38","0","0","1.13","1.51","2.17","10.74","2.45","1.6","0","0.38","0.00"
"110","Jordan Eberle","NYI","C, R","49","697.3","14.230612244898","0.69","1.2","0.52","0.69","1.89","75.86","6.97","9.88","0.7","12.48","9.9","8.26","4.04","0.52","0.95","0.52","0.26","0.26","0","0","0.77","2.15","2.41","2.15","5.33","2.75","0","0.52","0.00"
